Front,Back,vocab?,deckName,noteId,modelName,tags,Audio,Description,English Audio,Image,Image to Thai name card,Literal,Mnemonic,Notes,Phrase No.,Picture,Region,Thai Audio,Thai audio,rank
ข้าวเจ้า,white rice,TRUE,Thai::vocab,1504119762437,~Pocket Thai Vocab,leech ~Pocket-Thai-vocab,[sound:t261a12.mp3],,,,,,,,,,,,,
ข้าวเหนียว,sticky rice,TRUE,Thai::vocab,1504119762438,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a13.mp3],,,,,,,,,,,,,
ถั่ว,nuts,TRUE,Thai::vocab,1504119762439,~Pocket Thai Vocab,leech ~Pocket-Thai-vocab,[sound:t261a14.mp3],,,,,,,,,,,,,
แอปเปิล,apple,TRUE,Thai::vocab,1504119762440,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a15.mp3],,,,,,,,,,,,,
ส้ม,orange (fruit),TRUE,Thai::vocab,1504119762441,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a16.mp3],,,,,,Sôm sounds like some. I'd like some more of that ORANGE.,,,,,,,
แตงโม,watermelon,TRUE,Thai::vocab,1504119762442,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a17.mp3],,,,,,"Taeng-mo sounds like tango. You need a lot of room for the tango, just like a big, juicy WATERMELON.",,,,,,,
แก้วมังกร,"dragon fruit<br><img src=""Kaeo mangkon.jpg"">",TRUE,Thai::vocab,1504119762443,~Pocket Thai Vocab,leech ~Pocket-Thai-vocab,[sound:t261a18.mp3],,,,,,,,,,,,,
กล้วย,banana,TRUE,Thai::vocab,1504119762444,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a19.mp3],,,,,,,,,,,,,
มะม่วง,mango,TRUE,Thai::vocab,1504119762445,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a20.mp3],,,,,,,,,,,,,
มะละกอ,papaya,TRUE,Thai::vocab,1504119762446,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a21.mp3],,,,,,,,,,,,,
สับปะรด,pineapple,TRUE,Thai::vocab,1504119762447,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a22.mp3],,,,,,,,,,,,,
หัวหอม,onion,TRUE,Thai::vocab,1504119762448,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a23.mp3],,,,,,,,,,,,,
มะเขือเทศ,tomato,TRUE,Thai::vocab,1504119762449,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a24.mp3],,,,,,,,,,,,,
ข้าวโพด,corn,TRUE,Thai::vocab,1504119762450,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a25.mp3],,,,,,,,,,,,,
มะพร้าว,coconut,TRUE,Thai::vocab,1504119762451,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a26.mp3],,,,,,,,,,,,,
น้ำตาล,sugar,TRUE,Thai::vocab,1504119762452,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a27.mp3],,,,,,,,,,,,,
เกลือ,salt,TRUE,Thai::vocab,1504119762453,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a28.mp3],,,,,,,,,,,,,
น้ำเปล่า,(plain) water,TRUE,Thai::vocab,1504119762454,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t262a1.mp3],,,,,,,,,,,,,
น้ำส้ม,orange juice,TRUE,Thai::vocab,1504119762455,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t262a4.mp3],,,,,,,,,,,,,
น้ำสับปะรด,pineapple juice,TRUE,Thai::vocab,1504119762456,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t262a5.mp3],,,,,,,,,,,,,
นม,milk,TRUE,Thai::vocab,1504119762457,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t262a7.mp3],,,,,,,,,,,,,
ชานมเย็น,Thai iced tea,TRUE,Thai::vocab,1504119762458,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t262a8.mp3],,,,,,,,,,,,,
ชาดำ,black tea,TRUE,Thai::vocab,1504119762459,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t262a9.mp3],,,,,,,,,,,,,
ร้อน,hot (things/weather),TRUE,Thai::vocab,1504119762460,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t263a2.mp3],,,,,,,,,,,,,
เย็น,cold (things),TRUE,Thai::vocab,1504119762461,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t263a3.mp3],,,,,,,,,,,,,
เผ็ด,spicy,TRUE,Thai::vocab,1504119762462,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t263a4.mp3],,,,,,,,,,,,,
